text,cleaned_text,sentiment,compound_score
Trainer was engaging,trainer engaging,positive,0.34
Engagement with the trainees was very good,engagement trainees good,positive,0.7346
The presentation abilities and engagement activities.,presentation abilities engagement activities,positive,0.6124
"Very Engaging, Active Trainer. She is well experienced in the subject and has the ability to take the trainees along with her. The course content was also very effective. ",engaging active trainer well experienced subject ability take trainees along course content also effective,positive,0.9093
Real-World Scenarios.,realworld scenarios,neutral,0.0
Nil,nil,neutral,0.0
Intention,intention,neutral,0.0
Nil,nil,neutral,0.0
It was very interactive,interactive,neutral,0.0
Nil,nil,neutral,0.0
Very Engaging by Trainer,engaging trainer,positive,0.4005
Nil,nil,neutral,0.0
Activities and Presentation related to topics discussed in presentation.,activities presentation related topics discussed presentation,neutral,0.0
Nil,nil,neutral,0.0
Engaging and informative,engaging informative,positive,0.34
The presentation was so engaging,presentation engaging,positive,0.4795
"The session was very interactive, encouraging the candidate to apply the learnings through practical case studies and motivating to think differently.",session interactive encouraging candidate apply learnings practical case studies motivating think differently,positive,0.7832
"Trainer's way of training, communication ",trainers way training communication,neutral,0.0
Nil,nil,neutral,0.0
Interactive Approach,interactive approach,neutral,0.0
Nil,nil,neutral,0.0
The trainers were engaging and explained several tech concepts with familiar examples and usages. The presentation was also attractive and simple to understand.,trainers engaging explained several tech concepts familiar examples usages presentation also attractive simple understand,positive,0.6486
Nil,nil,neutral,0.0
Interactive throughout the session,interactive throughout session,neutral,0.0
"This training is indeed beneficial as it enhances skills, knowledge, and productivity",training indeed beneficial enhances skills knowledge productivity,positive,0.4404
Nil,nil,neutral,0.0
Attractive Slides which is easier to understand the technologies.,attractive slides easier understand technologies,positive,0.6908
requirement was to understand the basic tech stack and it was very effectively explained ,requirement understand basic tech stack effectively explained,positive,0.4927
The way the immersion program planned and executed.,way immersion program planned executed,neutral,0.0
Showing real-life examples,showing reallife examples,neutral,0.0
Learned depth about every HR activites,learned depth every hr activites,neutral,0.0
It was very elaborate and the way it was conveyed was very commendable,elaborate way conveyed commendable,neutral,0.0
Interactive sessions between trainers,interactive sessions trainers,neutral,0.0
Got more insights about HR tools,got insights hr tools,neutral,0.0
Interactive session,interactive session,neutral,0.0
Interaction as well as live examples,interaction well live examples,positive,0.2732
Got recruiters point of view,got recruiters point view,neutral,0.0
"The training covers the day to day activities of an HR and the process that everyone goes through. I learnt that there are various sub functions in HR such as BP, Law and Legal etc. As a non HR student I can use this knowledge to prepare for my career and placement. The trainers were engaging and fun to interact with.",training covers day day activities hr process everyone goes learnt various sub functions hr bp law legal etc non hr student use knowledge prepare career placement trainers engaging fun interact,positive,0.7351
Interactive sessions.,interactive sessions,neutral,0.0
It was very interactive and intresting to listen as there were live examples discussed,interactive intresting listen live examples discussed,neutral,0.0
Interactive Sessions,interactive sessions,neutral,0.0
Live experiences sharing,live experiences sharing,positive,0.4215
The interactive sessions,interactive sessions,neutral,0.0
Bringing up real hr instances and giving guidance on the application of certain hr tools.,bringing real hr instances giving guidance application certain hr tools,positive,0.5423
Key takeaways from the relevant topics,key takeaways relevant topics,neutral,0.0
Learned about HR practice,learned hr practice,neutral,0.0
The training was based on the real world applications on HR concepts.,training based real world applications hr concepts,neutral,0.0
"Explain using real-life examples, which proves to be very helpful.",explain using reallife examples proves helpful,positive,0.4754
The training with real tools and real snenario,training real tools real snenario,neutral,0.0
they related the concepts with the company which were practically easy for me to understand,related concepts company practically easy understand,positive,0.4404
Actual examples of various HR strategies in NeST. It gave me a clear understanding about the practicality of theories and tools.,actual examples various hr strategies nest gave clear understanding practicality theories tools,positive,0.3818
Everything was explained in simple terms,everything explained simple terms,neutral,0.0
