text,cleaned_text,sentiment,compound_score
Presentation and materials can be made better,presentation materials made better,positive,0.4404
Nil,nil,neutral,0.0
Everything was coordinated well so nothing much to suggest.,everything coordinated well nothing much suggest,positive,0.2732
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Content could be better,content could better,positive,0.4404
Nil,nil,neutral,0.0
nothing as of now.,nothing,neutral,0.0
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Humbly requesting to make the Training available offline and allowing to meet in person and enage and learn more.,humbly requesting make training available offline allowing meet person enage learn,negative,-0.128
Nil,nil,neutral,0.0
Good,good,positive,0.4404
Time duration,time duration,neutral,0.0
Nil,nil,neutral,0.0
No,nil,negative,-0.296
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
The knowledge was overloaded within the duration of training. It might be little difficult for beginners in understanding those concepts and technologies.,knowledge overloaded within duration training might little difficult beginners understanding concepts technologies,negative,-0.2975
Nil,nil,neutral,0.0
Nil,nil,neutral,0.0
Would like more such trainings,would like trainings,positive,0.3612
Nil,nil,neutral,0.0
Need more sessions based on the technical stack required for Recruiters.,need sessions based technical stack required recruiters,neutral,0.0
Since Nest have more Embedded and device based requirement can include more details ,since nest embedded device based requirement include details,neutral,0.0
Nope,nope,neutral,0.0
Could add a microphone to some speakers as some was inaudible though it&#039;s not their fault.,could add microphone speakers inaudible though fault,positive,0.3089
Can improve in articulation,improve articulation,positive,0.4404
• They could bring in vestibule training kind of practice      • VR based training      • More practical examples could be helpful      • More explanation over the real time application of things would be great      • More games and interactive activities,could bring vestibule training kind practice vr based training practical examples could helpful explanation real time application things would great games interactive activities,positive,0.7845
Can be bit more lengthy bring up more case studies and real world application,bit lengthy bring case studies real world application,neutral,0.0
Make content and teaching more relates to practical way,make content teaching relates practical way,neutral,0.0
It was good and insightful,good insightful,positive,0.4404
My suggestion is that a classroom can be arranged for students who are coming to attend this session.      Some assessment tests like quiz or presentation can be conducted to evaluate us       This program is helpful for many freshers like me to get a proper knowledge about how the hr department runs daily operations.,suggestion classroom arranged students coming attend session assessment tests like quiz presentation conducted evaluate us program helpful many freshers like get proper knowledge hr department runs daily operations,positive,0.7783
Nil,nil,neutral,0.0
I would suggest that the trainers could show live examples by showing their activities (Not if Confidential). This would give us a better understanding of the process and we could get more clarity.,would suggest trainers could show live examples showing activities confidential would give us better understanding process could get clarity,positive,0.7089
Could make it more practical by allowing students to work on HR systems through dummy simulations.,could make practical allowing students work hr systems dummy simulations,neutral,0.0
Nil,nil,neutral,0.0
Conduct immersion programm in other domains also,conduct immersion programm domains also,neutral,0.0
Some PPT content was too elaborate avoid that,ppt content elaborate avoid,negative,-0.296
none,none,neutral,0.0
NIL,nil,neutral,0.0
Na,na,neutral,0.0
Nil,nil,neutral,0.0
It could be better if there is a particular place to sit rather than cubicles.,could better particular place sit rather cubicles,positive,0.4404
Nil,nil,neutral,0.0
No suggestion  very good,suggestion good,positive,0.2484
sitting arrangements can be made perfectly,sitting arrangements made perfectly,positive,0.6369
All the sessions were beneficial. All trainers tried their maximum to include real industry examples. It would be better to include new trends and tools used in HR like HR analytics.,sessions beneficial trainers tried maximum include real industry examples would better include new trends tools used hr like hr analytics,positive,0.8074
"Nothing as such, because everything went well.",nothing everything went well,positive,0.2732
